Category,Keyword,Monthly Search Volume,Keyword Difficulty,Current Rank,Target Rank,Page Target,User Intent,Priority,Estimated Traffic Potential,Competition Level,CPC (USD),Notes
Investor Keywords,kattali textile share price,890,20,Not Ranking,Top 1,/investors/stock,Transactional,P0,890,Low,0.00,IR priority
Investor Keywords,ktl stock bangladesh,340,18,Not Ranking,Top 1,/investors/stock,Transactional,P0,340,Low,0.00,Stock info
Investor Keywords,kattali textile financial results,210,22,Not Ranking,Top 1,/investors/reports,Informational,P0,210,Low,0.00,Financial reports
Investor Keywords,dse kattali textile,180,15,Not Ranking,Top 1,/investors,Informational,P0,180,Very Low,0.00,Stock exchange
Investor Keywords,bangladesh textile stock,620,32,Not Ranking,Top 10,/investors,Transactional,P1,62,Medium,0.80,Industry investors
Product-Specific,men's woven pants manufacturer,190,30,Not Ranking,Top 5,/products,Transactional,P2,38,Low,1.85,Product specific
Product-Specific,denim jeans factory bangladesh,280,35,Not Ranking,Top 5,/products/denims,Transactional,P1,56,Medium,2.00,Jeans focus
Product-Specific,kids clothing manufacturer bangladesh,320,32,Not Ranking,Top 5,/products/kids,Transactional,P1,64,Low,1.75,Children's wear
Product-Specific,school uniform manufacturer,410,36,Not Ranking,Top 10,/products/uniforms,Transactional,P2,41,Medium,1.90,Uniform category
Product-Specific,sustainable children's clothing supplier,240,40,Not Ranking,Top 10,/products/kids,Transactional,P2,24,Medium,2.20,Eco kids focus
Product-Specific,organic cotton garments bangladesh,350,38,Not Ranking,Top 10,/sustainability,Transactional,P2,35,Medium,2.10,Organic materials
Product-Specific,custom denim manufacturing,540,42,Not Ranking,Top 10,/products/denims,Transactional,P1,54,High,2.60,Custom service
Product-Specific,private label clothing manufacturer,1800,55,Not Ranking,Top 20,/work-with-us/buyers,Transactional,P1,90,Very High,3.40,Private label
Technical Keywords,aql 2.5 garment inspection,180,28,Not Ranking,Top 5,/manufacturing,Informational,P2,36,Low,0.95,Quality standards
Technical Keywords,garment cmpt calculation,140,25,Not Ranking,Top 5,/blog,Informational,P3,28,Low,0.70,Technical blog
Technical Keywords,fabric gsm meaning,2400,22,Not Ranking,Top 20,/blog,Informational,P3,120,Low,0.55,Educational
Technical Keywords,fob price garment,890,30,Not Ranking,Top 10,/blog,Informational,P2,89,Low,0.85,Pricing guide
